antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'danceability_discretize=medium_danceability'}),frozenset({'popularity_label=low'}),0.5362318840579711,0.6509316770186335,0.3412008281573499,0.6362934362934363,0.9775118630080462,1.0,-0.00784949140336666,0.9597526077725468,-0.04726116490822386,0.4033284385707293,-0.041935173607771506,0.580233232141629
"frozenset({'mode_discretize=major', 'danceability_discretize=medium_danceability'})",frozenset({'popularity_label=low'}),0.3072463768115942,0.6509316770186335,0.18198757763975154,0.5923180592991913,0.9099542704882615,1.0,-0.018008821676118475,0.8562270930650377,-0.1249906285143072,0.23446252333955717,-0.1679144564560532,0.43594910598547354
"frozenset({'speechiness_discretize=low_speechiness', 'mode_discretize=major', 'danceability_discretize=medium_danceability'})",frozenset({'popularity_label=low'}),0.2906832298136646,0.6509316770186335,0.17246376811594202,0.5933048433048432,0.9114702268328222,1.0,-0.016751154147859548,0.8583045980137276,-0.12044033182068681,0.22422611036339166,-0.165087548539506,0.42912697635980074
"frozenset({'liveness_discretize=low_liveness', 'mode_discretize=major', 'danceability_discretize=medium_danceability'})",frozenset({'popularity_label=low'}),0.2596273291925466,0.6509316770186335,0.15548654244306417,0.598883572567783,0.9200406028951629,1.0,-0.013513110348109009,0.8702419026215378,-0.10505321541897526,0.2059226761721963,-0.14910577965457172,0.41887562852307725
"frozenset({'instrumentalness_discretize=low_instrumentalness', 'danceability_discretize=medium_danceability', 'mode_discretize=major'})",frozenset({'popularity_label=low'}),0.2494824016563147,0.6509316770186335,0.12857142857142856,0.5153526970954356,0.7917154984004308,1.0,-0.03382456952535268,0.7202522760146345,-0.2595507225640292,0.1665772532188841,-0.3884024157942146,0.3564358905324506
"frozenset({'duration_ms_descretize=medium_duration', 'mode_discretize=major', 'danceability_discretize=medium_danceability'})",frozenset({'popularity_label=low'}),0.21304347826086956,0.6509316770186335,0.12815734989648034,0.6015549076773568,0.9241444669470843,1.0,-0.010519398685750275,0.8760763520678687,-0.09445140432410573,0.17416994935284189,-0.14145302249013453,0.3992189296656504
"frozenset({'loudness_discretize=high_loudness', 'mode_discretize=major', 'danceability_discretize=medium_danceability'})",frozenset({'popularity_label=low'}),0.23354037267080746,0.6509316770186335,0.12650103519668737,0.5416666666666666,0.8321405852417303,1.0,-0.025517791237477966,0.7616036137775268,-0.20834978286616648,0.16689429117727397,-0.3130189798339265,0.36800254452926207
"frozenset({'speechiness_discretize=low_speechiness', 'mode_discretize=major', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness'})",frozenset({'popularity_label=low'}),0.2474120082815735,0.6509316770186335,0.14824016563146997,0.599163179916318,0.9204701523523587,1.0,-0.012808147833802713,0.8708489477301313,-0.10298263632791771,0.19762627656638143,-0.14830476927887556,0.41344927443653046
"frozenset({'speechiness_discretize=low_speechiness', 'instrumentalness_discretize=low_instrumentalness', 'danceability_discretize=medium_danceability', 'mode_discretize=major'})",frozenset({'popularity_label=low'}),0.23374741200828159,0.6509316770186335,0.11966873706004141,0.5119574844995571,0.7864995706529456,1.0,-0.03248485783727478,0.7152416273066474,-0.26159210828805096,0.1564276048714479,-0.3981289145119448,0.34789986184265387
"frozenset({'liveness_discretize=low_liveness', 'instrumentalness_discretize=low_instrumentalness', 'danceability_discretize=medium_danceability', 'mode_discretize=major'})",frozenset({'popularity_label=low'}),0.20766045548654244,0.6509316770186335,0.10745341614906832,0.5174476570289133,0.7949339005883115,1.0,-0.027719352391240057,0.7233791899799805,-0.24561059678108538,0.1430540242557883,-0.38240084018407405,0.34126199645338795
"frozenset({'speechiness_discretize=low_speechiness', 'mode_discretize=major', 'danceability_discretize=medium_danceability', 'liveness_discretize=low_liveness', 'instrumentalness_discretize=low_instrumentalness'})",frozenset({'popularity_label=low'}),0.19627329192546583,0.6509316770186335,0.10082815734989647,0.5137130801687764,0.7891966212516507,1.0,-0.02693234571711481,0.717823796499643,-0.24944140865066233,0.13509015256588072,-0.39309953901827405,0.33430564949914643
"frozenset({'speechiness_discretize=low_speechiness', 'mode_discretize=major', 'danceability_discretize=medium_danceability', 'duration_ms_descretize=medium_duration'})",frozenset({'popularity_label=low'}),0.20144927536231885,0.6509316770186335,0.12132505175983437,0.6022610483042137,0.9252292822230763,1.0,-0.009804662885948348,0.8776317267722726,-0.09189958432003437,0.16595865193996034,-0.13943009293632733,0.3943239083760254
